i,x,z,recall_naive,recall_naive_sc,recall_rerank
623,513.863,406.876,1,1,1
624,514.712,407.546,1,1,1
625,515.558,408.214,1,1,1
626,516.397,408.878,1,1,1
627,517.224,409.532,1,1,1
628,518.05,410.187,1,1,1
629,518.876,410.842,1,1,1
630,519.7,411.497,1,1,1
631,520.523,412.151,1,1,1
632,521.346,412.806,1,1,1
633,522.17,413.462,1,1,1
634,523.006,414.128,1,1,1
635,523.849,414.801,1,1,1
636,524.69,415.471,1,1,1
637,525.53,416.142,1,1,1
638,526.371,416.813,1,1,1
639,527.213,417.485,1,1,1
640,528.048,418.151,1,1,1
641,528.873,418.808,1,1,1
642,529.698,419.465,1,1,1
643,530.523,420.122,1,1,1
644,531.349,420.778,1,1,1
645,532.175,421.435,1,1,1
646,533,422.09,1,1,1
647,533.827,422.746,1,1,1
648,534.666,423.413,1,1,1
649,535.512,424.084,1,1,1
650,536.359,424.756,1,1,1
651,537.205,425.427,1,1,1
652,538.053,426.099,1,1,1
653,538.897,426.769,1,1,1
654,539.737,427.434,1,1,1
655,540.564,428.089,1,1,1
656,541.392,428.745,1,1,1
657,542.219,429.4,1,1,1
658,543.047,430.056,1,1,1
659,543.874,430.712,1,1,1
660,544.7,431.366,1,1,1
661,545.525,432.019,1,1,1
662,546.361,432.682,1,1,1
663,547.204,433.348,1,1,1
664,548.047,434.014,1,1,1
665,548.892,434.68,1,1,1
666,549.736,435.345,1,1,1
667,550.58,436.009,1,1,1
668,551.417,436.666,1,1,1
669,552.245,437.317,1,1,1
670,553.072,437.966,1,1,1
671,553.899,438.617,1,1,1
672,554.725,439.267,1,1,1
673,555.551,439.917,1,1,1
674,556.375,440.566,1,1,1
675,557.201,441.215,1,1,1
676,558.038,441.876,1,1,1
677,558.882,442.542,1,1,1
678,559.726,443.207,1,1,1
679,560.57,443.873,1,1,1
680,561.415,444.538,1,1,1
681,562.258,445.201,1,1,1
682,563.096,445.859,1,1,1
683,563.921,446.509,1,1,1
684,564.748,447.159,1,1,1
685,565.574,447.808,1,1,1
686,566.402,448.46,1,1,1
687,567.227,449.11,1,1,1
688,568.054,449.762,1,1,1
689,568.88,450.413,1,1,1
690,569.717,451.074,1,1,1
691,570.559,451.739,1,1,1
692,571.402,452.405,1,1,1
693,572.245,453.072,1,1,1
694,573.09,453.74,1,1,1
695,573.934,454.407,1,1,1
696,574.772,455.068,1,1,1
697,575.599,455.721,1,1,1
698,576.425,456.373,1,1,1
699,577.253,457.025,1,1,1
700,578.08,457.676,1,1,1
701,578.909,458.327,1,1,1
702,579.736,458.977,1,1,1
703,580.565,459.628,1,1,1
704,581.405,460.288,1,1,1
705,582.251,460.954,1,1,1
706,583.096,461.618,1,1,1
707,583.943,462.284,1,1,1
708,584.79,462.949,1,1,1
709,585.636,463.615,1,1,1
710,586.476,464.276,1,1,1
711,587.306,464.929,1,1,1
712,588.135,465.581,1,1,1
713,588.963,466.233,1,1,1
714,589.791,466.886,1,1,1
715,590.618,467.537,1,1,1
716,591.448,468.19,1,1,1
717,592.276,468.842,1,1,1
718,593.118,469.505,1,1,1
719,593.964,470.172,1,1,1
720,594.812,470.84,1,1,1
721,595.658,471.505,1,1,1
722,596.505,472.172,1,1,1
723,597.352,472.838,1,1,1
724,598.192,473.499,1,1,1
725,599.021,474.151,1,1,1
726,599.85,474.803,1,1,1
727,600.68,475.456,1,1,1
728,601.508,476.108,1,1,1
729,602.337,476.76,1,1,1
730,603.164,477.41,1,1,1
731,603.994,478.062,1,1,1
732,604.836,478.725,1,1,1
733,605.685,479.394,1,1,1
734,606.534,480.062,1,1,1
735,607.384,480.73,1,1,1
736,608.233,481.398,1,1,1
737,609.083,482.066,1,1,1
738,609.932,482.732,1,1,1
739,610.764,483.384,1,1,1
740,611.596,484.036,1,1,1
741,612.428,484.688,1,1,1
742,613.26,485.34,1,1,1
