source,leaf_max_size,k,threads,n_points,build_s,query_us
random_50000,25,5,1,50000,0.0048812,0.8742
random_50000,25,20,1,50000,0.0044593,2.6184
random_50000,10,1,1,50000,0.0056375,0.48315
random_50000,10,5,1,50000,0.0055155,0.9213
random_50000,10,20,1,50000,0.0054733,2.4027
random_50000,25,1,1,50000,0.0046832,0.42755
random_50000,25,5,1,50000,0.0046751,0.89405
random_50000,25,20,1,50000,0.0048226,2.23365
random_50000,10,1,1,50000,0.0054615,0.3917
random_50000,10,5,1,50000,0.005602,0.8595
random_50000,10,20,1,50000,0.0060669,2.3094
random_50000,25,1,1,50000,0.0047199,0.42415
random_50000,25,5,1,50000,0.0050916,1.00435
random_50000,25,20,1,50000,0.0047102,2.3274
random_50000,10,1,1,50000,0.0058173,0.3947
random_50000,10,5,1,50000,0.0054283,0.9091
random_50000,10,20,1,50000,0.0057141,2.3737
random_50000,25,1,1,50000,0.0047161,0.4252
random_50000,25,5,1,50000,0.004831,1.14715
random_50000,25,20,1,50000,0.0046154,2.2181
random_50000,10,1,1,50000,0.0054785,0.38525
random_50000,10,5,1,50000,0.0054559,0.83775
random_50000,10,20,1,50000,0.0055984,2.27175
random_50000,25,1,1,50000,0.004669,0.41285
random_50000,25,5,1,50000,0.0048111,0.9049
random_50000,25,20,1,50000,0.004684,2.19995
random_50000,10,1,1,50000,0.0055176,0.4533
random_50000,10,5,1,50000,0.0058883,0.8379
random_50000,10,20,1,50000,0.0054429,2.2786
random_50000,25,1,1,50000,0.0052245,0.4254
random_50000,25,5,1,50000,0.0047052,1.1249
random_50000,25,20,1,50000,0.0049836,2.22545
random_50000,10,1,1,50000,0.0051761,0.40215
random_50000,10,5,1,50000,0.0052848,0.8726
random_50000,10,20,1,50000,0.0051682,2.312
random_50000,25,1,1,50000,0.0045584,0.43485
random_50000,25,5,1,50000,0.004464,0.8795
random_50000,25,20,1,50000,0.0044475,2.1762
random_50000,10,1,1,50000,0.005555,0.3964
random_50000,10,5,1,50000,0.0054752,0.84005
random_50000,10,20,1,50000,0.0055374,2.31565
random_50000,25,1,1,50000,0.004752,0.4141
random_50000,25,5,1,50000,0.0046804,0.8734
random_50000,25,20,1,50000,0.0046834,2.18535
random_50000,10,1,1,50000,0.0055496,0.3999
random_50000,10,5,1,50000,0.0054421,0.83235
random_50000,10,20,1,50000,0.0055577,2.3606
random_50000,25,1,1,50000,0.0047025,0.41955
random_50000,25,5,1,50000,0.0046806,0.9367
random_50000,25,20,1,50000,0.0047148,2.1816
random_50000,10,1,1,50000,0.005435,0.39905
random_50000,10,5,1,50000,0.0054178,0.8492
random_50000,10,20,1,50000,0.0054111,2.43205
random_50000,25,1,1,50000,0.0048103,0.42495
random_50000,25,5,1,50000,0.0046708,0.883
random_50000,25,20,1,50000,0.0047002,2.1936
random_50000,10,1,1,50000,0.0054581,0.3812
random_50000,10,5,1,50000,0.0055,0.9373
random_50000,10,20,1,50000,0.0055676,2.252
random_50000,25,1,1,50000,0.0046853,0.4144
random_50000,25,5,1,50000,0.0047237,0.8716
random_50000,25,20,1,50000,0.0049967,2.4303
random_50000,10,1,1,50000,0.0052106,0.3996
random_50000,10,5,1,50000,0.0051883,0.845
random_50000,10,20,1,50000,0.0054606,2.5349
random_50000,25,1,1,50000,0.0044899,0.4189
